local,valor,data,periodo,ano
BRA,102.259,2008-1-1,2008-01,2008
BRA,102.1566,2008-2-1,2008-02,2008
BRA,102.0205,2008-3-1,2008-03,2008
BRA,101.9726,2008-4-1,2008-04,2008
BRA,102.0602,2008-5-1,2008-05,2008
BRA,102.2105,2008-6-1,2008-06,2008
BRA,102.2627,2008-7-1,2008-07,2008
BRA,102.0962,2008-8-1,2008-08,2008
BRA,101.459,2008-9-1,2008-09,2008
BRA,100.2135,2008-10-1,2008-10,2008
BRA,98.62952,2008-11-1,2008-11,2008
BRA,97.4621,2008-12-1,2008-12,2008
BRA,97.02917,2009-1-1,2009-01,2009
BRA,97.1057,2009-2-1,2009-02,2009
BRA,97.50246,2009-3-1,2009-03,2009
BRA,98.09568,2009-4-1,2009-04,2009
BRA,98.74857,2009-5-1,2009-05,2009
BRA,99.3812,2009-6-1,2009-06,2009
BRA,99.9807,2009-7-1,2009-07,2009
BRA,100.5523,2009-8-1,2009-08,2009
BRA,101.1032,2009-9-1,2009-09,2009
BRA,101.5751,2009-10-1,2009-10,2009
BRA,101.9035,2009-11-1,2009-11,2009
BRA,102.1024,2009-12-1,2009-12,2009
BRA,102.228,2010-1-1,2010-01,2010
BRA,102.3387,2010-2-1,2010-02,2010
BRA,102.4096,2010-3-1,2010-03,2010
BRA,102.4338,2010-4-1,2010-04,2010
BRA,102.4049,2010-5-1,2010-05,2010
BRA,102.2922,2010-6-1,2010-06,2010
BRA,102.176,2010-7-1,2010-07,2010
BRA,102.1348,2010-8-1,2010-08,2010
BRA,102.1364,2010-9-1,2010-09,2010
BRA,102.1049,2010-10-1,2010-10,2010
BRA,102.0259,2010-11-1,2010-11,2010
BRA,101.9509,2010-12-1,2010-12,2010
BRA,101.8912,2011-1-1,2011-01,2011
BRA,101.8925,2011-2-1,2011-02,2011
BRA,101.8955,2011-3-1,2011-03,2011
BRA,101.8148,2011-4-1,2011-04,2011
BRA,101.6415,2011-5-1,2011-05,2011
BRA,101.3648,2011-6-1,2011-06,2011
BRA,101.0262,2011-7-1,2011-07,2011
BRA,100.7308,2011-8-1,2011-08,2011
BRA,100.5349,2011-9-1,2011-09,2011
BRA,100.4762,2011-10-1,2011-10,2011
BRA,100.4781,2011-11-1,2011-11,2011
BRA,100.5406,2011-12-1,2011-12,2011
BRA,100.6194,2012-1-1,2012-01,2012
BRA,100.603,2012-2-1,2012-02,2012
BRA,100.5389,2012-3-1,2012-03,2012
BRA,100.4912,2012-4-1,2012-04,2012
BRA,100.4851,2012-5-1,2012-05,2012
BRA,100.4881,2012-6-1,2012-06,2012
