id,value
Zimbábue,11.3
Zâmbia,13.3
Vietnã,2.31
Venezuela,6
Uzbequistão,10.7
Uruguai,8
União Européia,8.8
Uganda,3.8
Ucrânia,9.9
Turquemenistão,10.5
Tunísia,15.4
Trinidad e Tobago,3.4
Togo,6.9
Timor Leste,11
Tanzânia,10.3
Tajiquistão,2.4
Taiwan,3.92
Tailândia,1.04
Suriname,8.9
Suíça,3.6
Suécia,7.7
Sudão do Sul,12
Sudão,19.5
Suazilândia,28.5
Sri Lanka,4.3
Síria,14.9
Seychelles,4.7
Sérvia,17.9
Serra Leoa,3.3
Senegal,13.4
São Tomé e Príncipe,13.6
Rússia,6
Ruanda,3.4
Romênia,6.4
República Dominicana,14
República do Congo,26.6
República Checa,6.1
Reino Unido,5.1
Quirguistão,2.2
Quênia,40
Portugal,12.2
Porto Rico,11.8
Polônia,10
Peru,11.1
Peru,7.2
Paraguai,5.8
Paquistão,5.9
Papua Nova Guiné,2.5
Panamá,2.5
Palestina,25.8
Omã,15
Nova Zelândia,5.3
Nova Caledônia,13.8
Noruega,4.6
Nigéria,10.4
Níger,2.25
Nicarágua,6.8
Nepal,2.7
Namíbia,28.1
Myanmar,4.02
Montenegro,18.28
Mongólia,8.3
Moldova,4.2
Moçambique,17
México,3.7
Mauritius,7.9
Mauritânia,12.85
Marrocos,9.5
Malta,5.2
Mali,8.2
Maldivas,11.6
Malavi,6.6
Malásia,3.4
Madagáscar,1.2
Macedónia,24.62
Macau,1.9
Luxemburgo,6.5
Lituânia,8.9
Liechtenstein,2.4
Líbia,19.5
Libéria,3.8
Líbano,6.4
Letônia,9.8
Lesoto,25.3
Laos,1.4
Kuweit,3.5
Kosovo,35.3
Jordânia,13.6
Japão,3.2
Jamaica,13.1
Itália,11.4
Israel,5.3
Islândia,3.3
Irlanda,8.6
Iraque,16.4
Irã,11.8
Indonésia,6.18
Índia,4.9
Ilhas Cayman,5.6
Iémen,29
Hungria,6
Hong Kong,3.4
Honduras,4.3
Holanda,6.4
Haiti,40.6
Guiné-Bissau,1.8
Guiné Equatorial,22.3
Guiné,3.8
Guiana,21
Guatemala,2.9
Grécia,24.4
Georgia,12.4
Gana,5.2
Gâmbia,22
Gabão,16
França,10.3
Finlândia,10.1
Filipinas,5.8
Fiji,7.9
Etiópia,16.8
Estônia,6.4
Estados Unidos,5
Espanha,21
Eslovenia,12.6
Eslováquia,9.9
Eritrea,14.5
Equador,5.65
Emirados Árabes Unidos,4.2
El Salvador,7
Egito,12.77
Djibouti,54
Dinamarca,4.2
Cuba,2.7
Croácia,17.2
Costa Rica,9.6
Costa do Marfim,5.3
Coreia do Sul,3.8
Coreia do Norte,4.1
Congo,46.1
Comores,7
Colômbia,10.1
Cingapura,1.9
Chipre,12.1
China,4.05
Chile,6.3
Chade,7.8
Central Africano República,7.6
Cazaquistão,5.1
Catar,0.2
Canadá,7.1
Camboja,0.3
Camarões,4
Cabo Verde,15.8
Butão,2.6
Burundi,7.7
Burkina Faso,6.6
Bulgária,9.88
Brunei,6.9
Brasil,10.9
Botswana,20
Bósnia e Herzegovina,42.76
Bolívia,7.4
Benin,1
Belize,11.1
Bélgica,8.5
Belarus,1
Barbados,11.3
Bangladesh,4.3
Bahrain,3.7
Bahamas,15.7
Azerbaijão,5
Áustria,9.4
Austrália,5.7
Armênia,19.6
Argentina,5.9
Argélia,11.2
Área euro,10.2
Arábia Saudita,5.6
Angola,26
Alemanha,4.2
Albânia,17.7
África do Sul,24.5
Afeganistão,40
MEDIANA,7.7
MÉDIA,10.51
