date	RJ	SP	RS	MG	BRASIL
20001231	2.07	1.93	2.66	1.41	1.7
20011231	1.9	1.97	2.51	2.34	1.73
20021231	2.35	2.27	2.79	2.63	1.95
20031231	2.01	2.24	2.8	2.43	1.83
20041231	2.04	2.23	2.83	2.24	1.74
20051231	1.9	1.97	2.58	2.03	1.53
20061231	1.72	1.89	2.53	1.89	1.43
20071231	1.73	1.71	2.54	1.88	1.3
20081231	1.6	1.63	2.34	1.76	1.19
20091231	1.63	1.5	2.2	1.79	1.13
20101231	1.56	1.53	2.14	1.82	1.12
20111231	1.46	1.46	2.14	1.82	1.04
20121231	1.65	1.54	2.18	1.75	1.05
20131231	1.54	1.42	2.09	1.83	1.03
20141231	1.78	1.48	2.09	1.79	1.06
20151231	1.98	1.68	2.27	1.99	1.11
