id,value,region
Afeganistão,6.6,Ásia
África do Sul,50.1,África
Albânia,72.13,Europa
Alemanha,71.2,Europa
Angola,31,África
Arábia Saudita,1.6,Ásia
Argélia,8.76,África
Argentina,48.4,Americas
Armênia,42.23,Ásia
Austrália,33.88,Oceânia
Áustria,86.2,Europa
Azerbaijão,16,Ásia
Bahamas,73.4,Americas
Bahrain,42,Ásia
Bangladesh,18,Ásia
Belarus,23.6,Europa
Bélgica,106,Europa
Belize,66.3,Americas
Benin,18.3,África
Bolívia,32.4,Americas
Bósnia e Herzegovina,30.4,Europa
Botswana,23.1,África
Brasil,66.23,Americas
Brunei,2.3,Ásia
Bulgária,29.3,Europa
Burkina Faso,28.3,África
Burundi,14.2,África
Butão,98.9,Ásia
Cabo Verde,114.22,África
Camarões,19.9,África
Camboja,33.88,Ásia
Canadá,86.51,Americas
Catar,31.48,Ásia
Cazaquistão,23.3,Ásia
Chade,23.8,África
Chile,17.5,Americas
China,43.9,Ásia
Chipre,108.9,Ásia
Cingapura,104.7,Ásia
Colômbia,38,Americas
Comores,25.4,África
Congo,19.69,África
Coreia do Sul,35.98,Ásia
Costa do Marfim,36.41,África
Costa Rica,58.32,Americas
Croácia,86.7,Europa
Cuba,17.1,Americas
Dinamarca,40.2,Europa
Djibouti,44.56,África
Egito,90.5,África
El Salvador,62.38,Americas
Emirados Árabes Unidos,15.68,Ásia
Equador,29.8,Americas
Eritrea,45,África
Eslováquia,52.9,Europa
Eslovenia,83.2,Europa
Espanha,99.2,Europa
Estados Unidos,104.17,Americas
Estônia,9.7,Europa
Etiópia,28.6,África
Fiji,50.6,Oceânia
Filipinas,45.05,Ásia
Finlândia,63.1,Europa
França,95.8,Europa
Gabão,27.7,África
Gâmbia,47.7,África
Gana,67.6,África
Georgia,36.8,Ásia
Grécia,176.9,Europa
Guatemala,24.31,Americas
Guiana,65.8,Americas
Guiné,20.81,África
Guiné Equatorial,7.6,África
Guiné-Bissau,30.8,África
Haiti,26.45,Americas
Holanda,65.1,Europa
Honduras,42.63,Americas
Hong Kong,32,Ásia
Hungria,75.3,Europa
Iémen,49.95,Ásia
Ilhas Cayman,19.5,Americas
Índia,66.4,Ásia
Indonésia,27,Ásia
Irã,16.36,Ásia
Iraque,37.02,Ásia
Irlanda,93.8,Europa
Islândia,82.4,Europa
Israel,64.8,Ásia
Itália,132.7,Europa
Jamaica,132.72,Americas
Japão,229.2,Ásia
Jordânia,89,Ásia
Kosovo,12.98,Europa
Kuweit,6.9,Ásia
Laos,44.48,Ásia
Lesoto,45.8,África
Letônia,36.4,Europa
Líbano,134.41,Ásia
Libéria,33.2,África
Líbia,6.1,África
Lituânia,42.7,Europa
Luxemburgo,21.4,Europa
Macedónia,45.9,Europa
Madagáscar,34.9,África
Malásia,54,Ásia
Malawi,18,África
Maldivas,20.4,Ásia
Malta,63.9,Europa
Marrocos,63.89,África
Mauritânia,66.9,África
Mauritius,61.6,África
México,30.7,Americas
Moçambique,55.4,África
Moldova,24.6,Europa
Mongólia,51.7,Ásia
Montenegro,61.4,Europa
Myanmar,31.6,Ásia
Namíbia,24.6,África
Nepal,28.8,Ásia
Nicarágua,45.3,Americas
Níger,24.8,África
Nigéria,10.5,África
Noruega,31.6,Europa
Nova Zelândia,30.43,Ásia
Omã,4.8,Ásia
Palestina,17.3,Ásia
Panamá,45.6,Americas
Papua Nova Guiné,38.8,Oceânia
Paquistão,64.8,Ásia
Paraguai,19.05,Americas
Turquia,32.9,Europa
Peru,20.7,Americas
Polônia,51.3,Europa
Portugal,129,Europa
Quênia,52.8,África
Quirguistão,55.2,Ásia
Reino Unido,89.2,Europa
República Centro-Africana,41.83,África
República Checa,41.1,Europa
República do Congo,34,África
República Dominicana,45.79,Americas
Romênia,38.4,Europa
Ruanda,28,África
Rússia,17.92,Europa
São Tomé e Príncipe,68.23,África
Senegal,35.2,África
Serra Leoa,37.65,África
Sérvia,73.4,Europa
Seychelles,60,África
Síria,30.01,Ásia
Sri Lanka,75.5,Ásia
Suazilândia,9.9,África
Sudão,79,África
Suécia,43.4,Europa
Suíça,34.4,Europa
Suriname,26.2,Americas
Tailândia,45.7,Ásia
Taiwan,36.5,Ásia
Tajiquistão,28.34,Ásia
Tanzânia,39.9,África
Togo,20.8,África
Trinidad e Tobago,41.6,Americas
Tunísia,47.5,África
Turcomenistão,16.8,Ásia
Ucrânia,71.21,Europa
Uganda,34.7,África
União Européia,85.2,Europa
Uruguai,62.8,Ásia
Uzbequistão,8.7,Ásia
Venezuela,49.8,Americas
Vietnã,50.5,Ásia
Zâmbia,31,África
Zimbábue,77,África
Zona do Euro,90.7,Europa
MEDIANA,40.65,Comparativo
