key,value,date
AR,0.50,3/17/2014
CG,0.01,3/18/2014
AR,0.78,3/19/2014
CG,0.35,3/20/2014
AR,0.75,3/21/2014
CG,0.01,3/24/2014
AR,0.53,3/25/2014
AR,0.02,3/26/2014
AR,1.25,3/27/2014
AR,0.99,3/28/2014
CG,0.12,3/31/2014
AR,0.04,4/1/2014
CG,0.40,4/2/2014
CG,0.44,4/3/2014
AR,1.71,4/4/2014
AR,0.42,4/7/2014
AR,1.58,4/8/2014
CG,0.62,4/9/2014
AR,0.56,4/10/2014
CG,0.32,4/11/2014
CG,0.17,4/14/2014
CG,0.73,4/15/2014
CG,0.38,4/16/2014
CG,0.63,4/17/2014
AR,0.15,4/22/2014
AR,0.10,4/23/2014
AR,0.88,4/24/2014
CG,0.43,4/25/2014
CG,0.20,4/28/2014
AR,0.76,4/29/2014
CG,0.73,4/30/2014
AR,0.62,5/2/2014
CG,0.29,5/5/2014
CG,0.16,5/6/2014
AR,0.18,5/7/2014
AR,0.79,5/8/2014
CG,0.38,5/9/2014
AR,0.13,5/12/2014
AR,0.28,5/13/2014
CG,0.13,5/14/2014
CG,0.17,5/15/2014
AR,0.25,5/16/2014
CG,0.00,5/19/2014
CG,0.20,5/20/2014
AR,0.20,5/21/2014
CG,0.09,5/22/2014
CG,0.25,5/23/2014
CG,0.10,5/26/2014
CG,0.65,5/27/2014
CG,0.23,5/28/2014
AR,0.69,5/29/2014
CG,0.62,5/30/2014
DJ,1.12,6/2/2014
CG,0.06,6/3/2014
CG,0.65,6/4/2014
AR,0.47,6/5/2014
AR,1.10,6/6/2014
AR,0.49,6/9/2014
AR,0.18,6/10/2014
CG,0.05,6/11/2014
AR,0.01,6/12/2014
CG,0.19,6/13/2014
AR,0.15,6/16/2014
CG,0.78,6/17/2014
CG,0.21,6/18/2014
AR,0.68,6/20/2014
AR,0.83,6/23/2014
CG,0.10,6/24/2014
AR,0.74,6/25/2014
CG,0.17,6/26/2014
AR,0.52,6/27/2014
CG,0.23,6/30/2014
CG,0.13,7/1/2014
CG,0.36,7/2/2014
CG,0.67,7/3/2014
AR,0.59,7/4/2014
CG,0.23,7/7/2014
AR,0.23,7/8/2014
AR,0.07,7/9/2014
CG,0.47,7/10/2014
AR,0.04,7/11/2014
AR,0.23,7/14/2014
CG,0.09,7/15/2014
AR,0.01,7/16/2014
CG,0.95,7/17/2014
AR,0.18,7/18/2014
AR,0.55,7/21/2014
AR,0.49,7/22/2014
CG,0.33,7/23/2014
CG,0.01,7/24/2014
CG,0.40,7/25/2014
CG,0.04,7/28/2014
AR,0.11,7/29/2014
CG,0.76,7/30/2014
DJ,1.01,7/31/2014
AR,0.30,8/1/2014
AR,0.13,8/4/2014
CG,0.79,8/5/2014
CG,0.15,8/6/2014
CG,0.05,8/7/2014
CG,0.81,8/8/2014
AR,0.90,8/11/2014
AR,0.04,8/12/2014
AR,0.34,8/13/2014
CG,0.05,8/14/2014
AR,0.06,8/15/2014
AR,0.42,8/18/2014
AR,0.04,8/19/2014
AR,0.16,8/20/2014
CG,0.14,8/21/2014
CG,0.87,8/22/2014
CG,0.13,8/25/2014
AR,0.26,8/26/2014
AR,0.69,8/27/2014
AR,0.41,8/28/2014
AR,0.46,8/29/2014
AR,0.14,9/1/2014
CG,0.70,9/2/2014
AR,0.90,9/3/2014
CG,0.17,9/4/2014
CG,0.27,9/5/2014
CG,0.33,9/8/2014
DJ,1.43,9/9/2014
CG,0.68,9/10/2014
AR,0.38,9/11/2014
DJ,1.62,9/12/2014
CG,0.65,9/15/2014
AR,0.21,9/16/2014
CG,0.14,9/17/2014
DJ,1.21,9/18/2014
AR,0.05,9/19/2014
CG,0.90,9/22/2014
CG,0.65,9/23/2014
CG,0.18,9/24/2014
CG,0.06,9/25/2014
CG,0.94,9/26/2014
CG,0.87,9/29/2014
AR,0.05,9/30/2014
CG,0.46,10/1/2014
CG,0.66,10/2/2014
CG,0.59,10/3/2014
AR,3.35,10/6/2014
AR,0.25,10/7/2014
CG,0.14,10/8/2014
AR,0.65,10/9/2014
CG,0.79,10/10/2014
AR,0.74,10/13/2014
CG,0.28,10/14/2014
DJ,1.36,10/15/2014
DJ,1.86,10/16/2014
AR,1.18,10/17/2014
CG,0.32,10/20/2014
CG,0.99,10/21/2014
AR,0.06,10/22/2014
CG,0.90,10/23/2014
AR,0.80,10/24/2014
DJ,2.16,10/27/2014
AR,1.86,10/28/2014
AR,2.10,10/29/2014
AR,0.93,10/30/2014
DJ,1.34,10/31/2014
DJ,1.62,11/3/2014
DJ,1.43,11/4/2014
AR,0.11,11/5/2014
CG,0.62,11/6/2014
DJ,1.56,11/7/2014
AR,1.29,11/10/2014
DJ,1.00,11/11/2014
AR,0.37,11/12/2014
CG,0.69,11/13/2014
DJ,1.59,11/14/2014
AR,0.38,11/17/2014
AR,0.26,11/18/2014
AR,0.45,11/19/2014
AR,1.56,11/20/2014
AR,0.22,11/21/2014
AR,0.43,11/24/2014
AR,0.18,11/25/2014
AR,0.53,11/26/2014
AR,0.15,11/27/2014
DJ,2.14,11/28/2014
CG,0.09,12/1/2014
CG,0.16,12/2/2014
AR,0.22,12/3/2014
CG,0.74,12/4/2014
CG,0.35,12/5/2014
CG,0.14,12/8/2014
CG,0.36,12/9/2014
AR,0.33,12/10/2014
DJ,1.31,12/11/2014
DJ,1.09,12/12/2014
