date,value
3/13/2015,3.2258
1/4/2016,4.038
11/30/2015,3.8499
8/26/2015,3.632
5/4/2015,3.0748
9/29/2015,4.1165
3/4/2015,2.9798
12/16/2014,2.7397
1/30/2015,2.6617
7/23/2015,3.2844
10/13/2015,3.8243
12/11/2015,3.8541
9/24/2015,4.1942
9/10/2015,3.8691
6/11/2015,3.1508
10/27/2014,2.5335
3/9/2015,3.1012
11/28/2014,2.5595
9/21/2015,3.9815
12/21/2015,3.9825
4/30/2015,2.993
8/31/2015,3.6461
10/21/2015,3.938
10/16/2014,2.4763
5/25/2015,3.1206
11/12/2015,3.799
2/11/2015,2.857
8/24/2015,3.5488
1/21/2016,4.1552
12/16/2015,3.9351
11/25/2015,3.7682
11/3/2014,2.4833
9/12/2014,2.3244
9/2/2015,3.7307
6/5/2015,3.1677
11/14/2014,2.6129
9/28/2015,4.0093
11/7/2014,2.5715
9/23/2015,4.1034
9/22/2015,4.0419
10/19/2015,3.9009
4/29/2015,2.9369
7/8/2015,3.2275
7/17/2015,3.1826
3/6/2015,3.036
12/30/2015,3.9042
9/17/2015,3.8915
11/4/2014,2.5189
9/9/2014,2.2807
8/3/2015,3.4419
8/6/2015,3.5341
3/26/2015,3.1909
1/20/2016,4.0855
3/3/2015,2.9045
1/2/2015,2.6923
10/27/2015,3.9108
10/29/2015,3.9321
10/15/2014,2.431
10/31/2014,2.4436
3/17/2015,3.2677
12/11/2014,2.6265
5/27/2015,3.1734
12/14/2015,3.9017
7/24/2015,3.3248
9/18/2014,2.3661
10/8/2015,3.8511
7/7/2015,3.1803
9/3/2015,3.7753
12/8/2015,3.7915
5/22/2015,3.0647
2/10/2016,3.9406
6/2/2014,2.2634
12/12/2014,2.6552
4/10/2015,3.0789
3/27/2015,3.2253
3/30/2015,3.2595
6/19/2015,3.0782
2/2/2015,2.6888
7/31/2014,2.2668
2/19/2016,4.0486
11/11/2014,2.5638
7/20/2015,3.2143
10/21/2014,2.4791
4/7/2015,3.1225
4/17/2015,3.0538
7/15/2015,3.1526
1/28/2016,4.0832
7/17/2014,2.2397
12/23/2014,2.6769
9/26/2014,2.4304
2/6/2015,2.7635
6/23/2015,3.1036
7/27/2015,3.3551
3/10/2015,3.1293
9/22/2014,2.3864
1/14/2016,4.0217
10/23/2014,2.4998
7/22/2015,3.2088
2/5/2015,2.738
9/29/2014,2.4516
8/22/2014,2.2772
7/31/2015,3.3934
5/18/2015,3.0139
2/9/2015,2.7867
2/5/2016,3.8969
11/16/2015,3.833
6/26/2015,3.1265
2/16/2016,4.0207
8/8/2014,2.298
8/5/2014,2.275
10/10/2014,2.4096
6/17/2014,2.248
7/28/2015,3.3808
7/30/2014,2.2441
12/4/2014,2.5791
4/15/2014,2.2251
8/4/2015,3.4669
4/30/2014,2.2354
2/10/2015,2.8069
8/13/2015,3.5068
9/1/2015,3.6719
5/12/2015,3.0382
9/2/2014,2.2515
4/13/2015,3.1005
5/11/2015,3.0169
7/30/2015,3.3646
11/13/2014,2.5719
9/10/2014,2.2961
10/14/2015,3.8501
7/3/2014,2.2275
1/5/2015,2.7101
8/28/2015,3.5784
10/2/2014,2.4779
9/23/2014,2.402
6/4/2014,2.2796
5/27/2014,2.2348
9/15/2014,2.3395
1/29/2015,2.5954
4/17/2014,2.2476
2/12/2016,3.9884
5/30/2014,2.2384
11/6/2014,2.5319
4/9/2014,2.2105
12/1/2015,3.8739
2/3/2015,2.7053
11/23/2015,3.7224
9/4/2015,3.798
12/15/2014,2.6711
10/3/2014,2.4926
2/11/2016,3.9636
2/29/2016,3.979
11/5/2015,3.7887
2/24/2016,3.9894
2/20/2015,2.8694
10/2/2015,4.0003
7/1/2015,3.1185
6/25/2015,3.1009
3/25/2015,3.1469
7/6/2015,3.1425
8/5/2015,3.4844
1/6/2016,4.0297
7/10/2014,2.2231
5/19/2015,3.0278
10/1/2014,2.4617
2/26/2016,3.9571
5/26/2015,3.1345
1/15/2016,4.0396
4/3/2014,2.2805
11/6/2015,3.8053
4/25/2014,2.2319
1/7/2016,4.0469
3/5/2015,2.9925
1/26/2015,2.596
1/8/2015,2.6913
8/21/2015,3.489
2/19/2015,2.8539
4/2/2014,2.2705
7/25/2014,2.2287
1/23/2015,2.585
2/23/2015,2.8805
5/9/2014,2.2186
4/16/2014,2.2336
3/19/2015,3.2635
6/29/2015,3.1383
1/12/2016,4.0293
12/9/2014,2.601
7/2/2014,2.2127
12/5/2014,2.5882
3/20/2014,2.3414
12/18/2015,3.9056
9/8/2014,2.2485
7/23/2014,2.2196
2/4/2015,2.7142
4/11/2014,2.2053
10/20/2014,2.4548
7/3/2015,3.1265
3/1/2016,3.9907
5/5/2014,2.228
10/14/2014,2.3985
2/26/2015,2.8721
12/10/2015,3.7679
1/16/2015,2.6187
9/5/2014,2.241
2/17/2016,4.0312
9/18/2015,3.9015
5/23/2014,2.2181
10/16/2015,3.8432
7/7/2014,2.2195
5/28/2014,2.2399
6/30/2014,2.2019
6/18/2014,2.2528
5/20/2015,3.034
5/20/2014,2.215
4/28/2014,2.2364
12/24/2014,2.6822
2/27/2015,2.8777
6/13/2014,2.2341
1/19/2015,2.6237
8/18/2015,3.4805
9/24/2014,2.4064
2/12/2015,2.8619
6/26/2014,2.2083
4/14/2014,2.209
5/15/2014,2.216
2/23/2016,3.9678
10/1/2015,3.9788
9/4/2014,2.235
5/6/2014,2.2316
12/2/2014,2.5658
12/22/2014,2.652
8/6/2014,2.2784
6/16/2015,3.1076
8/21/2014,2.2576
9/17/2014,2.3378
11/10/2015,3.7975
2/18/2015,2.8424
10/8/2014,2.4065
12/8/2014,2.5917
8/25/2014,2.2802
7/1/2014,2.2048
5/14/2014,2.2123
5/29/2015,3.1781
3/31/2014,2.2624
8/19/2015,3.4843
9/8/2015,3.8021
5/26/2014,2.2203
6/24/2014,2.2211
5/22/2014,2.2125
12/1/2014,2.5618
7/15/2014,2.2189
11/13/2015,3.8016
6/3/2014,2.2648
9/25/2014,2.4078
8/7/2014,2.2796
6/11/2014,2.2301
8/14/2014,2.2697
8/11/2015,3.4919
7/28/2014,2.2296
3/12/2015,3.1165
5/28/2015,3.1741
1/20/2015,2.6241
3/24/2014,2.3242
3/18/2014,2.3516
7/24/2014,2.2198
6/1/2015,3.1783
5/19/2014,2.2105
5/7/2015,3.0415
9/11/2015,3.8692
12/31/2014,2.6556
12/31/2015,3.9042
7/16/2014,2.2187
2/25/2015,2.864
2/15/2016,3.9879
6/12/2014,2.2298
3/26/2014,2.3113
3/16/2015,3.2251
1/12/2015,2.6569
8/19/2014,2.2581
8/12/2014,2.2764
7/11/2014,2.2222
4/1/2014,2.2614
8/17/2015,3.4739
9/19/2014,2.365
1/28/2015,2.5791
9/30/2014,2.4504
8/15/2014,2.2684
12/26/2014,2.6806
7/2/2015,3.1166
10/22/2014,2.4775
10/22/2015,3.9354
7/9/2014,2.2128
1/26/2016,4.0961
1/18/2016,4.0358
6/22/2015,3.0751
4/23/2014,2.242
11/5/2014,2.5162
7/29/2014,2.2272
12/29/2014,2.6777
9/14/2015,3.8647
5/12/2014,2.2158
8/4/2014,2.2571
9/15/2015,3.8593
9/1/2014,2.2358
4/22/2014,2.2443
1/19/2016,4.0297
11/27/2014,2.5059
6/16/2014,2.2307
12/22/2015,3.9764
8/20/2014,2.2544
2/2/2016,3.9913
5/21/2015,3.0289
6/10/2014,2.229
5/7/2014,2.2276
11/25/2014,2.523
7/18/2014,2.2356
