id,value,region
Afeganistão,3.85,Ásia
África do Sul,6.3,África
Albânia,0.3,Europa
Alemanha,0.1,Europa
Angola,23.6,África
Arábia Saudita,4.3,Ásia
Argélia,3.04,África
Argentina,32.9,Americas
Austrália,1.3,Oceânia
Áustria,0.7,Europa
Azerbaijão,11.7,Ásia
Bahamas,2,Americas
Bahrain,3.3,Ásia
Bangladesh,5.65,Ásia
Belarus,12.8,Europa
Bélgica,2.04,Europa
Belize,0.3,Americas
Bolívia,3.28,Americas
Botswana,3,África
Brasil,9.39,Americas
Burundi,4.3,África
Butão,3.53,Ásia
Camarões,1.47,África
Camboja,2.31,Ásia
Canadá,1.3,Americas
Catar,3.3,Ásia
Cazaquistão,15.7,Ásia
Chile,4.5,Americas
China,2.3,Ásia
Colômbia,7.98,Americas
Comores,1.4,África
Congo,2.04,África
Coreia do Norte,55,Ásia
Coreia do Sul,1,Ásia
Costa do Marfim,0.9,África
Cuba,5.3,Americas
Djibouti,2.6,África
Egito,9,África
El Salvador,1.12,Americas
Emirados Árabes Unidos,1.43,Ásia
Equador,2.32,Americas
Eritreia,11.4,África
Estados Unidos,0.9,Americas
Etiópia,7.5,Europa
Fiji,0.8,Oceânia
Filipinas,1.1,Ásia
Gâmbia,6.57,África
Gana,19.2,África
Georgia,4.1,Ásia
Guatemala,4.3,Americas
Guiné,7.7,África
Guiné Equatorial,3.9,África
Guiné-Bissau,3.1,África
Haiti,14.8,Americas
Holanda,0.6,Europa
Honduras,2.48,Americas
Hong Kong,3,Ásia
Iémen,9.49,Ásia
Índia,4.83,Ásia
Indonésia,3.6,Ásia
Irã,8.9,Ásia
Iraque,1.5,Ásia
Islândia,1.6,Europa
Jamaica,3,Americas
Kosovo,0.1,Europa
Kuweit,3.1,Ásia
Laos,1.13,Ásia
Lesoto,6.6,África
Libéria,8,África
Líbia,10.1,África
Lituânia,1.2,Europa
Luxemburgo,0.05,Europa
Macau,3.31,Ásia
Madagáscar,7.2,África
Malásia,2.6,Ásia
Malawi,22.1,África
Maldivas,1.3,Ásia
Malta,1,Europa
Marrocos,1.8,África
Mauritius,0.9,África
México,2.6,Americas
Moçambique,13.61,África
Moldova,9.4,Europa
Mongólia,1.7,Ásia
Myanmar,15.19,Ásia
Namíbia,6.5,África
Nepal,11.3,Ásia
Nicarágua,3.7,Americas
Níger,1.1,África
Nigéria,12.8,África
Noruega,3.3,Europa
Nova Caledônia,0.9,Oceânia
Nova Zelândia,0.4,Oceânia
Omã,0.1,Ásia
Palestina,0.32,Ásia
Panamá,0.6,Americas
Papua Nova Guiné,6.4,Oceânia
Paquistão,4.17,Ásia
Paraguai,4.7,Americas
Peru,7.46,Europa
Peru,3.91,Americas
Porto Rico,0.5,Europa
Portugal,0.4,Americas
Quênia,5.27,Europa
Quirguistão,0.5,África
Reino Unido,0.5,Europa
República Centro-Africana,25.58,África
República Checa,0.3,Europa
República do Congo,3.7,África
República Dominicana,1.59,Americas
Ruanda,5.8,África
Rússia,7.3,Europa
São Tomé e Príncipe,4.3,África
Senegal,1.3,África
Serra Leoa,8.85,África
Sérvia,0.6,Europa
Síria,43.02,Ásia
Sri Lanka,3.1,Ásia
Suazilândia,4.9,África
Sudão,12.94,África
Sudão do Sul,245.2,África
Suécia,0.8,Europa
Suriname,31.88,Americas
Tailândia,0.07,Ásia
Taiwan,2,Ásia
Tajiquistão,5.6,Ásia
Tanzânia,5.4,África
Togo,1.1,África
Trinidad e Tobago,3.4,Americas
Tunísia,3.3,África
Turcomenistão,7,Ásia
Ucrânia,20.9,Europa
Uganda,5.1,África
Uruguai,10.6,Ásia
Uzbequistão,5.6,Ásia
Venezuela,180.9,Americas
Vietnã,1.89,Ásia
Zâmbia,21.8,África
MEDIANA,3.36,Comparativo
