id,value
Zimbábue,-2.31
Zâmbia,21.8
Vietnã,1.89
Venezuela,180.9
Uzbequistão,5.6
Uruguai,10.6
União Européia,0
Uganda,5.1
Ucrânia,20.9
Turquemenistão,7
Tunísia,3.3
Trinidad e Tobago,3.4
Togo,1.1
Timor Leste,-1.6
Tanzânia,5.4
Tajiquistão,5.6
Taiwan,2
Tailândia,0.07
Suriname,31.88
Suíça,-0.9
Suécia,0.8
Sudão do Sul,245.2
Sudão,12.94
Suazilândia,4.9
Sri Lanka,3.1
Somália,-4
Síria,43.02
Seychelles,-3.2
Sérvia,0.6
Serra Leoa,8.85
Senegal,1.3
São Tomé e Príncipe,4.3
Rússia,7.3
Ruanda,5.8
Romênia,-3
República Dominicana,1.59
República do Congo,3.7
República Checa,0.3
Reino Unido,0.5
Quirguistão,0.5
Quênia,5.27
Portugal,0.4
Porto Rico,0.5
Polônia,-1.1
Peru,7.46
Peru,3.91
Paraguai,4.7
Paquistão,4.17
Papua Nova Guiné,6.4
Panamá,0.6
Palestina,0.32
Omã,0.1
Nova Zelândia,0.4
Nova Caledônia,0.9
Noruega,3.3
Nigéria,12.8
Níger,1.1
Nicarágua,3.7
Nepal,11.3
Namíbia,6.5
Myanmar,15.19
Montenegro,-0.9
Mongólia,1.7
Moldova,9.4
Moçambique,13.61
México,2.6
Mauritius,0.9
Mauritânia,-0.4
Marrocos,1.8
Malta,1
Mali,-1.5
Maldivas,1.3
Malavi,22.1
Malásia,2.6
Madagáscar,7.2
Macedónia,-0.4
Macau,3.31
Luxemburgo,0.05
Lituânia,1.2
Liechtenstein,-0.9
Líbia,10.1
Libéria,8
Líbano,-3.57
Letônia,-0.6
Lesoto,6.6
Laos,1.13
Kuweit,3.1
Kosovo,0.1
Jordânia,-1.67
Japão,-0.1
Jamaica,3
Itália,-0.4
Israel,-0.7
Islândia,1.6
Irlanda,-0.3
Iraque,1.5
Irã,8.9
Indonésia,3.6
Índia,4.83
Ilhas Cayman,-2.5
Iémen,9.49
Hungria,-0.2
Hong Kong,3
Honduras,2.48
Holanda,0.6
Haiti,14.8
Guiné-Bissau,3.1
Guiné Equatorial,3.9
Guiné,7.7
Guiana,-0.97
Guatemala,4.3
Grécia,-1.5
Georgia,4.1
Gana,19.2
Gâmbia,6.57
Gabão,-0.01
França,-0.2
Finlândia,0
Filipinas,1.1
Fiji,0.8
Etiópia,7.5
Estônia,-0.2
Estados Unidos,0.9
Espanha,-1.1
Eslovenia,-0.6
Eslováquia,-0.5
Eritrea,11.4
Equador,2.32
Emirados Árabes Unidos,1.43
El Salvador,1.12
Egito,9
Djibouti,2.6
Dinamarca,0
Cuba,5.3
Croácia,-1.7
Costa Rica,-1.1
Costa do Marfim,0.9
Coreia do Sul,1
Coreia do Norte,55
Congo,2.04
Comores,1.4
Colômbia,7.98
Cingapura,-1
Chipre,-2.5
China,2.3
Chile,4.5
Chade,-3.4
Central Africano República,25.58
Cazaquistão,15.7
Catar,3.3
Canadá,1.3
Camboja,2.31
Camarões,1.47
cabo Verde,-1.2
Butão,3.53
Burundi,4.3
Burkina Faso,-0.2
Bulgária,-1.5
Brunei,-0.2
Brasil,9.39
Botswana,3
Bósnia e Herzegovina,-1.8
Bolívia,3.28
Benin,-0.2
Belize,0.3
Bélgica,2.04
Belarus,12.8
Barbados,-1.06
Bangladesh,5.65
Bahrain,3.3
Bahamas,2
Azerbaijão,11.7
Áustria,0.7
Austrália,1.3
Aruba,-1.8
Armênia,-2
Argentina,32.9
Argélia,3.04
Área euro,-0.2
Arábia Saudita,4.3
Angola,23.6
Alemanha,0.1
Albânia,0.3
África do Sul,6.3
Afeganistão,3.85
MEDIANA,2
MÉDIA,6.42
