date	ajustado
03/01/2008	316
04/01/2008	320
07/01/2008	340
08/01/2008	350
09/01/2008	350
10/01/2008	375
11/01/2008	399.9
14/01/2008	399
17/01/2008	380
22/01/2008	392
23/01/2008	392
24/01/2008	395
28/01/2008	395
29/01/2008	394.9
30/01/2008	380
31/01/2008	400
01/02/2008	410
07/02/2008	410
12/02/2008	422
14/02/2008	390
15/02/2008	400
18/02/2008	400
19/02/2008	390
20/02/2008	400
21/02/2008	399.6
22/02/2008	410
26/02/2008	410
27/02/2008	420
28/02/2008	428.9
29/02/2008	430
04/03/2008	420
07/03/2008	400
11/03/2008	405
12/03/2008	410
14/03/2008	420
24/03/2008	408.7
25/03/2008	406.3
27/03/2008	390
28/03/2008	410
31/03/2008	400
01/04/2008	410
02/04/2008	409
03/04/2008	420
04/04/2008	417.3
07/04/2008	406
08/04/2008	405.6
09/04/2008	404
10/04/2008	408
11/04/2008	408
18/04/2008	407
22/04/2008	401
23/04/2008	395.1
24/04/2008	400
25/04/2008	500
28/04/2008	489.8
30/04/2008	480
02/05/2008	480
05/05/2008	480
06/05/2008	480
07/05/2008	470.1
08/05/2008	480
09/05/2008	480
12/05/2008	480
13/05/2008	480
15/05/2008	480
20/05/2008	480
21/05/2008	470.2
28/05/2008	480
30/05/2008	484.9
02/06/2008	470.5
03/06/2008	471
04/06/2008	480
06/06/2008	481.9
11/06/2008	478
12/06/2008	463
13/06/2008	480
16/06/2008	470
17/06/2008	483
19/06/2008	484.5
20/06/2008	485
23/06/2008	485
24/06/2008	480
25/06/2008	484
26/06/2008	480
27/06/2008	480
01/07/2008	479
02/07/2008	479
03/07/2008	475
08/07/2008	470
10/07/2008	465.1
11/07/2008	465
14/07/2008	463
15/07/2008	475
16/07/2008	475
17/07/2008	475
18/07/2008	475
22/07/2008	470
23/07/2008	470
25/07/2008	460
28/07/2008	478
29/07/2008	475
30/07/2008	477.5
31/07/2008	490
04/08/2008	475
12/08/2008	470
13/08/2008	475
15/08/2008	470
20/08/2008	470
21/08/2008	470
22/08/2008	470
25/08/2008	470
26/08/2008	468
27/08/2008	470
28/08/2008	480
29/08/2008	499
03/09/2008	490
04/09/2008	487.7
05/09/2008	495
09/09/2008	470.9
10/09/2008	473.4
12/09/2008	475
15/09/2008	480
17/09/2008	480
18/09/2008	480
23/09/2008	480
24/09/2008	479.9
25/09/2008	465
30/09/2008	465
02/10/2008	478.8
09/10/2008	475
13/10/2008	455
14/10/2008	440
15/10/2008	429.9
16/10/2008	442
17/10/2008	470
20/10/2008	470
24/10/2008	439.9
27/10/2008	435
28/10/2008	440
30/10/2008	439.9
31/10/2008	445
03/11/2008	430
04/11/2008	450
06/11/2008	460
07/11/2008	470
10/11/2008	470
12/11/2008	470
13/11/2008	488
14/11/2008	489
17/11/2008	485
18/11/2008	485
19/11/2008	480
21/11/2008	500
24/11/2008	500
27/11/2008	489.9
28/11/2008	545
