id,value,region
Etiópia,10.2,África
Palau,9.4,Oceania
Papua Nova Guiné,9,Oceânia
Costa do Marfim,8.6,África
Uzbequistão,8,Ásia
Irlanda,7.8,Europa
Butão,7.7,Ásia
República Democrática do Congo,7.7,África
Índia,7.3,Ásia
Laos,7,Ásia
Myanmar,7,Ásia
República Dominicana,7,Americas
Tanzânia,7,África
Camboja,6.9,Ásia
China,6.9,Ásia
Ruanda,6.9,África
Vietnã,6.7,Ásia
São Cristóvão e Nevis,6.6,Americas
Djibouti,6.5,África
Senegal,6.5,África
Turquemenistão,6.5,Ásia
Bangladesh,6.4,Ásia
Moçambique,6.3,África
Mali,6.1,África
Camarões,5.9,África
Filipinas,5.8,Ásia
Panamá,5.8,Americas
Quênia,5.6,África
Malta,5.4,Europa
Togo,5.3,África
Benin,5.2,África
Sri Lanka,5.2,Ásia
Malásia,5,Ásia
Uganda,5,África
Bolívia,4.8,Americas
Eritreia,4.8,África
Guiné-Bissau,4.8,África
Indonésia,4.8,Ásia
Granada,4.6,Americas
Luxemburgo,4.5,Europa
Marrocos,4.5,África
Namíbia,4.5,África
Nicarágua,4.5,Americas
Gâmbia,4.4,África
Seychelles,4.4,África
Fiji,4.3,Oceânia
República Centro Africana,4.3,África
Timor-Leste,4.3,Ásia
Egito,4.2,África
Kiribati,4.2,Oceania
Paquistão,4.2,Ásia
República Checa,4.2,Europa
Montenegro,4.1,Europa
Omã,4.1,Ásia
Suécia,4.1,Europa
Burkina Faso,4,África
Gabão,4,África
Guatemala,4,Americas
Islândia,4,Europa
Níger,4,África
São Tomé e Príncipe,4,África
Emirados Árabes Unidos,3.9,Ásia
Turquia,3.8,Europa
Argélia,3.7,África
Costa Rica,3.7,Americas
Macedónia,3.7,Europa
Romênia,3.7,Europa
Honduras,3.6,Americas
Polônia,3.6,Europa
Eslováquia,3.6,Europa
Zâmbia,3.6,África
Gana,3.5,África
Quirguizistão,3.5,Ásia
Sudão,3.5,África
Arábia Saudita,3.4,Ásia
Mauritius,3.4,África
Nepal,3.4,Ásia
Nova Zelândia,3.4,Oceânia
Catar,3.3,Ásia
Ilhas Salomão,3.3,Oceania
Kosovo,3.3,Europa
Peru,3.3,Americas
Bahrain,3.2,Ásia
Espanha,3.2,Europa
Colômbia,3.1,Americas
Angola,3,África
Armênia,3,Ásia
Bulgária,3,Europa
Guiana,3,Americas
Madagáscar,3,África
Paraguai,3,Americas
Tajiquistão,3,Ásia
Eslovenia,2.9,Europa
Hungria,2.9,Europa
Malawi,2.9,África
Bósnia e Herzegovina,2.8,Europa
Georgia,2.8,Ásia
Tailândia,2.8,Ásia
Letônia,2.7,Europa
Nigéria,2.7,África
Albânia,2.6,Europa
Coréia do Sul,2.6,Ásia
Israel,2.6,Ásia
Tonga,2.6,Oceania
Tuvalu,2.6,Oceania
Austrália,2.5,Oceânia
Congo,2.5,África
Jordânia,2.5,Ásia
Lesoto,2.5,África
México,2.5,Americas
El Salvador,2.4,Americas
Estados Unidos,2.4,Americas
Hong Kong,2.4,Ásia
Iraque,2.4,Ásia
Mongólia,2.3,Ásia
Antígua e Barbuda,2.2,Americas
Reino Unido,2.2,Europa
Chile,2.1,Americas
Cingapura,2,Ásia
Holanda,1.9,Europa
Maldivas,1.9,Ásia
Mauritânia,1.9,África
Cabo Verde,1.8,África
Chade,1.8,África
Samoa,1.7,Oceania
Suazilândia,1.7,África
Chipre,1.6,Ásia
Croácia,1.6,Europa
Ilhas Marshall,1.6,Oceania
Lituânia,1.6,Europa
Noruega,1.6,Europa
Santa Lúcia,1.6,Americas
São Vicente e Granadinas,1.6,Americas
Afeganistão,1.5,Ásia
Alemanha,1.5,Europa
Belize,1.5,Americas
Portugal,1.5,Europa
Uruguai,1.5,Ásia
Zimbábue,1.5,África
Bélgica,1.4,Europa
África do Sul,1.3,África
Argentina,1.2,Americas
Canadá,1.2,Americas
Cazaquistão,1.2,Ásia
Dinamarca,1.2,Europa
Azerbaijão,1.1,Ásia
Estônia,1.1,Europa
França,1.1,Europa
Jamaica,1.1,Americas
Comores,1,África
Haiti,1,Americas
Líbano,1,Ásia
San Marino,1,Europa
Áustria,0.9,Europa
Kuweit,0.9,Ásia
Suíça,0.9,Europa
Itália,0.8,Europa
Tunísia,0.8,África
Sérvia,0.7,Europa
Taiwan,0.7,Ásia
Bahamas,0.5,Americas
Barbados,0.5,Americas
Japão,0.5,Ásia
Finlândia,0.4,Europa
Guiné,0.1,África
Suriname,0.1,Americas
Equador,0,Americas
Irã,0,Ásia
Libéria,0,África
Brunei Darussalam,-0.2,Ásia
Grécia,-0.2,Europa
Micronésia,-0.2,Oceania
Sudão do Sul,-0.2,África
Botswana,-0.3,África
Vanuatu,-0.8,Oceania
Moldova,-1.1,Europa
Porto Rico,-1.3,Americas
Trinidad e Tobago,-1.8,Americas
Rússia,-3.7,Europa
Brasil,-3.8,Americas
Belarus,-3.9,Europa
Burundi,-4.1,África
Dominica,-4.3,Americas
Venezuela,-5.7,Americas
Líbia,-6.4,África
Ucrânia,-9.9,Europa
Guiné Equatorial,-12.2,África
Macau,-20.3,Ásia
Serra Leoa,-21.5,África
Iêmen,-28.1,Ásia
MEDIANA,2.85,Comparativo
