year,age,sex,people
2010,248,1,248
2010,1,2,1
2010,18,3,18
2010,37,4,37
2010,15,5,15
2010,5,6,5
2010,49,7,49
2010,22,8,22
2010,1,9,1
2010,19,10,19
2010,126,11,126
2011,251,1,251
2011,16,2,16
2011,81,3,81
2011,107,4,107
2011,34,5,34
2011,13,6,13
2011,96,7,96
2011,64,8,64
2011,4,9,4
2011,110,10,110
2011,296,11,296
2012,432,1,432
2012,150,2,150
2012,90,3,90
2012,283,4,283
2012,271,5,271
2012,66,6,66
2012,162,7,162
2012,57,8,57
2012,22,9,22
2012,157,10,157
2012,391,11,391
2013,1026,1,1026
2013,285,2,285
2013,195,3,195
2013,1841,4,1841
2013,1381,5,1381
2013,209,6,209
2013,219,7,219
2013,110,8,110
2013,324,9,324
2013,208,10,208
2013,193,11,193
2014,2473,1,2473
2014,1406,2,1406
2014,1700,3,1700
2014,332,4,332
2014,1750,5,1750
2014,1150,6,1150
2014,508,7,508
2014,408,8,408
2014,593,9,593
2014,313,10,313
2014,131,11,131
2015,4036,1,4036
2015,573,2,573
2015,332,3,332
2015,288,4,288
2015,219,5,219
2015,195,6,195
2015,195,7,195
2015,180,8,180
2015,162,9,162
2015,10,10,10
2015,6,11,6
