key,value,date
Outros,248,2010
Síria,1,2010
Nigéria,18,2010
Bangladesh,37,2010
Senegal,15,2010
Gana,5,2010
Republica Democrática do Congo,49,2010
Paquistão,22,2010
Líbano,1,2010
Guiné-Bissau,19,2010
Colômbia,126,2010
Outros,251,2011
Síria,16,2011
Nigéria,81,2011
Bangladesh,107,2011
Senegal,34,2011
Gana,13,2011
Republica Democrática do Congo,96,2011
Paquistão,64,2011
Líbano,4,2011
Guiné-Bissau,110,2011
Colômbia,296,2011
Outros,432,2012
Síria,150,2012
Nigéria,90,2012
Bangladesh,283,2012
Senegal,271,2012
Gana,66,2012
Republica Democrática do Congo,162,2012
Paquistão,57,2012
Líbano,22,2012
Guiné-Bissau,157,2012
Colômbia,391,2012
Outros,1026,2013
Síria,285,2013
Nigéria,195,2013
Bangladesh,1841,2013
Senegal,1381,2013
Gana,209,2013
Republica Democrática do Congo,219,2013
Paquistão,110,2013
Líbano,324,2013
Guiné-Bissau,208,2013
Colômbia,193,2013
Outros,2473,2014
Síria,1406,2014
Nigéria,1700,2014
Bangladesh,332,2014
Senegal,1750,2014
Gana,1150,2014
Republica Democrática do Congo,508,2014
Paquistão,408,2014
Líbano,593,2014
Guiné-Bissau,313,2014
Colômbia,131,2014
Outros,4036,2015
Síria,573,2015
Nigéria,332,2015
Bangladesh,288,2015
Senegal,219,2015
Gana,195,2015
Republica Democrática do Congo,195,2015
Paquistão,180,2015
Líbano,162,2015
Guiné-Bissau,10,2015
Colômbia,6,2015
