id,order,score,weight,color,label
SEN,1,3670,0.1377369112,#ED6A5A,Senegal
BAN,2,2888,0.1083880653,#F4F1BB,Bangladesh
SIR,3,2431,0.09123662976,#9BC1BC,Síria
NIG,4,2416,0.09067367236,#5CA4A9,Nigéria
GAN,5,1638,0.0614749484,#E6EBE0,Gana
RDC,6,1229,0.04612497654,#003459,Republica Democrática do Congo
COL,7,1143,0.0428973541,#007EA7,Colômbia
LIB,8,1106,0.04150872584,#00A8E8,Líbano
PAQ,9,841,0.03156314506,#444B6E,Paquistão
GBI,10,817,0.03066241321,#708B75,Guiné-Bissau
OUT,11,8466,0.3177331582,#9AB87A,Outros
