PF,Method,CV,CVD,Prop
0.05,clur,0.036486651,0.013513349,0.270266983
0.06,clur,0.040068548,0.019931452,0.332190872
0.07,clur,0.043889484,0.026110516,0.373007373
0.08,clur,0.047953741,0.032046259,0.400578238
0.09,clur,0.052264588,0.037735412,0.419282356
0.1,clur,0.056824217,0.043175783,0.431757827
0.11,clur,0.061633689,0.048366311,0.439693737
0.12,clur,0.066692885,0.053307115,0.444225961
0.13,clur,0.072000474,0.057999526,0.446150197
0.14,clur,0.077553893,0.062446107,0.446043623
0.15,clur,0.083349329,0.066650671,0.444337806
0.16,clur,0.089381729,0.070618271,0.441364193
0.17,clur,0.095644809,0.074355191,0.437383475
0.18,clur,0.102131084,0.077868916,0.432605087
0.19,clur,0.108831907,0.081168093,0.42720049
0.2,clur,0.115737518,0.084262482,0.421312408
0.21,clur,0.122837112,0.087162888,0.415061369
0.22,clur,0.130118908,0.089881092,0.408550416
0.23,clur,0.137570234,0.092429766,0.401868547
0.24,clur,0.145177619,0.094822381,0.395093254
0.25,clur,0.152926892,0.097073108,0.388292431
0.26,clur,0.16080329,0.09919671,0.381525806
0.27,clur,0.168791568,0.101208432,0.374846044
0.28,clur,0.176876114,0.103123886,0.368299594
0.29,clur,0.185041066,0.104958934,0.361927358
0.3,clur,0.193270437,0.106729563,0.355765211
0.31,clur,0.201548225,0.108451775,0.349844437
0.32,clur,0.209858538,0.110141462,0.344192068
0.33,clur,0.218185709,0.111814291,0.338831184
0.34,clur,0.226514405,0.113485595,0.333781163
0.35,clur,0.234829735,0.115170265,0.3290579
0.36,clur,0.243117356,0.116882644,0.324674012
0.37,clur,0.251363564,0.118636436,0.320639016
0.38,clur,0.259555388,0.120444612,0.316959505
0.39,clur,0.267680667,0.122319333,0.313639315
0.4,clur,0.275728128,0.124271872,0.310679681
0.41,clur,0.283687447,0.126312553,0.308079397
0.42,clur,0.291549313,0.128450687,0.305834968
0.43,clur,0.299305472,0.130694528,0.303940764
0.44,clur,0.306948767,0.133051233,0.302389166
0.45,clur,0.314473176,0.135526824,0.30117072
0.46,clur,0.321873833,0.138126167,0.300274275
0.47,clur,0.329147047,0.140852953,0.299687135
0.48,clur,0.336290309,0.143709691,0.29939519
0.49,clur,0.3433023,0.1466977,0.29938306
0.5,clur,0.350182889,0.149817111,0.299634221
0.51,clur,0.356933122,0.153066878,0.300131134
0.52,clur,0.36355521,0.15644479,0.300855365
0.53,clur,0.370052518,0.159947482,0.301787702
0.54,clur,0.376429539,0.163570461,0.302908261
0.55,clur,0.382691877,0.167308123,0.304196587
0.56,clur,0.38884622,0.17115378,0.30563175
0.57,clur,0.394900317,0.175099683,0.307192427
0.58,clur,0.400862951,0.179137049,0.30885698
0.59,clur,0.406743919,0.183256081,0.310603528
0.6,clur,0.412553999,0.187446001,0.312410001
0.61,clur,0.41830494,0.19169506,0.314254197
0.62,clur,0.424009432,0.195990568,0.316113819
0.63,clur,0.429681097,0.200318903,0.317966513
0.64,clur,0.435334472,0.204665528,0.319789887
0.65,clur,0.440985005,0.209014995,0.32156153
0.66,clur,0.44664905,0.21335095,0.323259015
0.67,clur,0.452343868,0.217656132,0.324859898
0.68,clur,0.458087643,0.221912357,0.326341702
0.69,clur,0.463899489,0.226100511,0.3276819
0.7,clur,0.469799483,0.230200517,0.328857881
0.71,clur,0.475808693,0.234191307,0.329846911
0.72,clur,0.481949218,0.238050782,0.330626085
0.73,clur,0.488244245,0.241755755,0.331172267
0.74,clur,0.494718104,0.245281896,0.331462021
0.75,clur,0.501396348,0.248603652,0.331471536
0.76,clur,0.508305835,0.251694165,0.331176533
0.77,clur,0.515474829,0.254525171,0.33055217
0.78,clur,0.522933116,0.257066884,0.329572928
0.79,clur,0.530712131,0.259287869,0.328212493
0.8,clur,0.538845109,0.261154891,0.326443614
0.81,clur,0.547367252,0.262632748,0.324237961
0.82,clur,0.556315916,0.263684084,0.321565956
0.83,clur,0.565730824,0.264269176,0.318396598
0.84,clur,0.575654303,0.264345697,0.314697258
0.85,clur,0.58613155,0.26386845,0.31043347
0.86,clur,0.597210929,0.262789071,0.305568687
0.87,clur,0.608944304,0.261055696,0.300064018
0.88,clur,0.621387411,0.258612589,0.293877942
0.89,clur,0.634600272,0.255399728,0.286965987
0.9,clur,0.648647661,0.251352339,0.279280377
0.91,clur,0.663599625,0.246400375,0.270769643
0.92,clur,0.679532066,0.240467934,0.261378189
0.93,clur,0.696527389,0.233472611,0.251045818
0.94,clur,0.714675242,0.225324758,0.239707189
0.95,clur,0.734073328,0.215926672,0.227291234
0.96,clur,0.754828334,0.205171666,0.213720486
0.97,clur,0.777056969,0.192943031,0.198910342
0.98,clur,0.800887131,0.179112869,0.182768234
0.99,clur,0.826459231,0.163540769,0.165192696
1,clur,0.853927681,0.146072319,0.146072319
